Beers,Type,Alcohol Content,Brewery,Municipality,Province,Parent,Rating,Check-ins,Description,Latitude,Longitude
Adelardus Tripel,"Abbaye, Triple",0,Brasserie Cornelissen,Brée,Limburg,Unknown,3,14170,"A special brew on the occasion of the opening of the abby tower in Sint-Truiden on May 1, 2005.

This triple has a somewhat darker (orange like) colour and a slightly fuller taste than our Kerckomse Tripel, if only to clarify that these are two completely different Triple beers.

What makes Adelardus Tripel so special, is the use of so-called ‘gruut’. This is a mixture of about 10 different indigenous herbs.",48.1504032,-0.5188416
Adler,Pils,0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9808426,4.552216324874748
L'Adorée,Blonde,0,Brasserie du Renard,Grez-Doiceau,Walloon Brabant,Unknown,3,166,Unknown,50.7665208,4.6489518
Adriaen Brouwer,"Fermentation haute, Brune",0,Brasserie Roman,Audenarde,East Flanders,Unknown,3,36691,"Adriaen Brouwer Oaked is a well-balanced, beautifully dark brown, top-fermented beer in which the flavours of caramel and dried fruit perfectly meld with the soft, velvety finish of the sherry and whisky wood. Organic beers: This means that all ingredients used to brew the beer are grown organically... and that’s a first for the brewery that has existed since 1545.",45.18442025,5.774715255279428
Adriaen Brouwer Dark Gold,"Fermentation haute, Brune",0,Brasserie Roman,Audenarde,East Flanders,Unknown,3,7099,"Pours deep reddish brown with a diminishing faint red head. Aroma is sweet and toasty, with leather, wood, dark fruit, and fruit esters. Taste is sweet and toasty, with a herbal-earthy finish. Medium-full bodied, with light carbonation and a lasting finish.",45.18442025,5.774715255279428
Affligem Blond,"Abbaye, Blonde",0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",3,451856,"Affligem Blonde, the classic clear blonde abbey ale, with a gentle roundness and 6.7% alcohol. Low on bitterness, it is eminently drinkable.",50.9125769,4.1125154
Affligem Dubbel,"Abbaye, Brune",0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",3,190632,"Rich ruby-brown with a firm, silky head and strong natural carbonation. Leads on complex clove, spice, anise, raisin, molasses and banana aromas. A deep spicy clove flavor mellows into softer, caramel fruity taste.

A silky, spicy mouth-feel. Finaly balanced alcohol with plenty of hoppy dryness gives great structure and keeps it brighter than many other doubles. On swirling, the yeast-bite gives out stronger banana notes, yeasty spice and aroma hops.",50.9125769,4.1125154
Affligem 950 Cuvee,"Abbaye, Blonde",0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",0,0,Unknown,50.9125769,4.1125154
Affligem Noël,"Abbaye, Bière de Noël",0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",0,0,Unknown,50.9125769,4.1125154
Affligem Patersvat,"Abbaye, Double",0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",0,0,Unknown,50.9125769,4.1125154
Affligem Tripel,"Abbaye, Triple",0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",3,236910,"The king of the abbey beers. Brewed since 1074 by the Formula Antiqua Renovate. It is amber-gold and pours with a deep head and original aroma, delivering a complex, full bodied flavour. Secondary fermentation in the bottle. (Temp: 8-10ºC)",50.9125769,4.1125154
Agrumbocq,"Fermentation haute, Blanche, Fruitée",0,Brasserie du Bocq,Yvoir,Namur,Unknown,2,145,"After the Applebocq and the Redbocq, the Brasserie du Bocq is pleased to announce the birth of the Agrumbocq … The idea for the Agrumbocq arose first of all in the mind of our master brewer. Once again, the starting point is our white beer made by top fermentation to which mandarin juice and the natural aromas of grapefruit and lime are added. Its cloudy appearance, its natural pink grapefruit colour, its fine slightly pinkish head and its pleasantly fruity fragrance are certainly going to delight the most delicate palates. A perfect balance is achieved through the sweet and acid taste of the citrus fruit and the slight bitterness that it releases. It is defined as a very light and refreshing beer. You are advised to drink it very cool. It is ideal after sport! It has barely 3% alcohol volume.",50.3112826,4.944263618532086
Alpaïde,"Brune, Triple",0,Brasserie Nieuwhuys,Hoegaarden,Flemish Brabant,Unknown,3,3283,Unknown,50.7741896,4.8870343
Alpaïde Cuvée van de generaal,"Blonde, Triple",0,Brasserie Nieuwhuys,Hoegaarden,Flemish Brabant,Unknown,3,3671,Unknown,50.7741896,4.8870343
Akila Pils,Pils,0,Brasserie Belge,Herstal,Liege,Unknown,0,11,Unknown,50.60184225,5.381503502086348
Alfri,Pils NA,0,Brasserie Roman,Audenarde,East Flanders,Unknown,0,10,Unknown,45.18442025,5.774715255279428
Altitude 6,"Ale, Blonde",0,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Unknown,0,0,Unknown,50.38168775,3.719061535766789
Alvinne Extra Restyled,Ambrée,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
Alvinne Lex'ke,Blonde,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
Alvinne Tripel,Triple,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
Alvino Bourgogne Barrel OA,Fruitée,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,0,0,Unknown,50.78285655,3.375586376478683
L’Amarante,Fermentation haute,0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,2,260,Unknown,49.6952272,5.4924175
Ambetanterik,Stout,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,3,1286,Unknown,50.78285655,3.375586376478683
Ambiorix,Rouge-brune,0,Brasserie Slaghmuylder,Ninove,East Flanders,Unknown,3,2333,Unknown,50.8214549,4.0037422031066825
Angélus Blonde,Blonde,0,Brasserie Brootcoorens,Erquelinnes,Hainaut,Unknown,3,702,Unknown,50.3070077,4.1069398
Angélus Brune,Brune,0,Brasserie Brootcoorens,Erquelinnes,Hainaut,Unknown,3,123,Unknown,50.3070077,4.1069398
Angélus Spéciale Noël,Bière de Noël,0,Brasserie Brootcoorens,Erquelinnes,Hainaut,Unknown,3,444,Unknown,50.3070077,4.1069398
Anker Blond,Blonde,0,Brasserie Het Anker,Malines,Antwerp,Unknown,0,0,Unknown,51.0315949,4.4728969
Anker Boscoulis,Fruitée,0,Brasserie Het Anker,Malines,Antwerp,Unknown,0,0,Unknown,51.0315949,4.4728969
Anker Herfstbok,"Brune, Spéciale, Bock",0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,4072,"Anker Herfstbok is brewed with 3 types of barley malts and wheat malts. This characteristic autumn beer is hopped with three hop varieties and curaçao.
A delicious start of autumn!",51.0315949,4.4728969
Anker Pils,Pils,0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,2111,Unknown,51.0315949,4.4728969
Antiek Blond,Blonde,0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,68,Unknown,47.6865361,6.500773
Antiek Bruin,Brune,0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,45,Unknown,47.6865361,6.500773
Antiek Super 5 Blond,Blonde,0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,8147,Unknown,47.6865361,6.500773
Antwerps Blond,Blonde,0,Huisbrouwerij 't Pakhuis,Antwerp,Antwerp,Unknown,3,885,Unknown,51.2211097,4.3997081
Antwerps Bruin,Brune,0,Huisbrouwerij 't Pakhuis,Antwerp,Antwerp,Unknown,3,616,Unknown,51.2211097,4.3997081
Applebocq,Fruitée,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,830,"Your summer beer.

Description
Appearance: naturally cloudy product, colour verging on pale yellow.
Nose: body varying between apple and cinnamon on a bitter coriander-orange spiced base.
Taste: characteristic of tart apples (old variety). Sweet product with a touch of wheat.
Remarks: serve well chilled (as for Blanche de Namur; half-fill your glass and, before filling it, shake the bottle so as to benefit from the entire palette of flavour and the cloudiness that distinguish this product).",50.3112826,4.944263618532086
Arabière,Blonde,0,Brasserie De Dolle Brouwers,Dixmude,West Flanders,Unknown,3,35275,"An arabier is a pure malt beer 8°vol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout the year. Aging time is limited due to the fact that hop bitterness is declining with the time. Store arabier cool and dark and serve cool at 10°C. Cheers!",51.0333408,2.8647185
Archiduc,Unknown,0,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,Unknown,3,307,"Brassée selon la recette authentique de la Brasserie Duvieusart et sous le contrôle de la Confrérie de Jean de Nivelles.
Bière naturelle, non filtrée, non pasteurisée et refermentée en bouteille, de par ses épices, elle a été conçue pour se marier à la perfection avec la tarte Al djote.",50.5585572,4.133186556057117
Ardenne Saison,"Blonde, Saison",0,Brasserie de Battignies,Binche,Hainaut,Unknown,3,9134,"refermentée avec une levure Brettanomyces , houblons Hallertau et Cascade, dry Hopping",50.4103004,4.165163
Ardenne Stout,Stout,0,Brasserie de Battignies,Binche,Hainaut,Unknown,3,11609,"Stout aged in oak barrels, with roasted spelt, hops: Mosaic, Belgian Golding & Hallertau",50.4103004,4.165163
A Ré,Blonde,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,0,0,Unknown,50.7377318,5.9611134
Arend Blond,Blonde,0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,16752,Arend Blond is a gold coloured beer of 6.5% ABV with a dynamic complex of flavours. You will discover spicy-sweet notes in combination with a scent of fresh hops.,50.8860005,2.5319929
Arend Dubbel,brune,0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,8282,Arend Dubbel has a warming sweet caramel flavor in combination with a subtle bitterness of hops. The full-bodied aftertaste turns this beer into a modern high fermented quality product.,50.8860005,2.5319929
Arend Tripel,Blonde dorée,0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,36712,"Arend Tripel is a golden, blond top-fermented beer of 8% ABV . This delicious tripel has an ageable hoppy scent, a silken mouthfeel; a subtle malty taste, a delicate bitterness of hops and a delicious aftertaste with a surprising fruitiness without being overly sweet. It has a very balanced and enjoyable bitter finish that lingers briefly.
Thanks to the subtle bitterness our Arend tripel is an ideal appetite stimulant aperitif!

Double BRONZE medal winner, SILVER medal winner, and triple GOLD medal winner at the renowned European Beer star Award in Germany, threefold electing this tasty tripel as Best Triple of Europe. category: Belgian- style tripel",50.8860005,2.5319929
Arend Winter,Ambrée,0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,6641,"Arend Winter joined the eagle range end 2017. Arend Winter is a dark ruby brown top-fermented beer that strikes a perfect balance between a gentle caramalized malt taste, a subtle bitterness of hops and delicate notes of carefully selected winter herbs and spices. Your dreamed companion on a cold winter night!",50.8860005,2.5319929
Arendonker Bruin,Brune,0,Brasserie Humulus,Arendonk,Antwerp,Unknown,3,1738,"Dark brown beer, beige foam. Medium body. Well balanced, medium sweet, light bitter aftertaste. Notes of dark fruit and roastiness.",51.3202315,5.0864557
Arendonker Tripel,Blonde dorée,0,Brasserie Humulus,Arendonk,Antwerp,Unknown,3,4085,Unknown,51.3202315,5.0864557
Armand’4 Herfst,Vieille Gueuze,0,Brasserie Drie Fonteinen,Beersel,Flemish Brabant,Unknown,0,0,Unknown,50.7478412,4.30652710740871
Armand’4 Lente,Vieille Gueuze,0,Brasserie Drie Fonteinen,Beersel,Flemish Brabant,Unknown,0,0,Unknown,50.7478412,4.30652710740871
Armand’4 Winter,Vieille Gueuze,0,Brasserie Drie Fonteinen,Beersel,Flemish Brabant,Unknown,0,0,Unknown,50.7478412,4.30652710740871
Armand’4 Zomer,Vieille Gueuze,0,Brasserie Drie Fonteinen,Beersel,Flemish Brabant,Unknown,0,0,Unknown,50.7478412,4.30652710740871
Artevelde,Spéciale,0,Brasserie Huyghe,Melle,East Flanders,Unknown,0,0,Unknown,44.5620476,7.32049
Artevelde Grand Cru,Rouge-brune,0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,1801,"Belgian dark reddish-brown
Top fermentation

Aroma and taste: the perfect fragrance in which roasted malt, caramel, sweet fruitiness and a good old bitter tang emerge victorious. With a finish that blends a suggestion of spicy toffee with a clever hint of date.",44.5620476,7.32049
Asterie,Blanche,0,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,Unknown,0,0,Unknown,50.5585572,4.133186556057117
Atomium Premier Grand Cru,Ambrée,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,3582,Unknown,53.7435722,-0.3394758
L'Attrait Blanche Noisette,Blanche,0,Brasserie de l'Attrait,Bertogne,Luxembourg,Unknown,0,0,Unknown,50.0545889,5.592256387100326
L'Attrait Blanche Pamplemousse,Blanche,0,Brasserie de l'Attrait,Bertogne,Luxembourg,Unknown,0,0,Unknown,50.0545889,5.592256387100326
L'Attrait Blonde,Blonde,0,Brasserie de l'Attrait,Bertogne,Luxembourg,Unknown,0,0,Unknown,50.0545889,5.592256387100326
L'Attrait Brune,Brune,0,Brasserie de l'Attrait,Bertogne,Luxembourg,Unknown,0,0,Unknown,50.0545889,5.592256387100326
L'Attrait Impérial,India Pale Ale,0,Brasserie de l'Attrait,Bertogne,Luxembourg,Unknown,0,0,Unknown,50.0545889,5.592256387100326
Aubel Double,Brune,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,3551,Unknown,50.7377318,5.9611134
Aubel Triple,Triple,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,12970,Unknown,50.7377318,5.9611134
Augrenelle,"Blonde, Bière de table",0,Brasserie Augrenoise,Soignies,Hainaut,Unknown,0,3,Unknown,50.579203,4.0685604
Augrenette,Blonde,0,Brasserie Augrenoise,Soignies,Hainaut,Unknown,0,5,Unknown,50.579203,4.0685604
Augrenoise,Blonde,0,Brasserie Augrenoise,Soignies,Hainaut,Unknown,3,138,"Very refreshing and thirst-quenching, slightly acid, present in the mouth a AUGRENOISE greenness (green wood) rustic with aromas of lime, licorice with a taste of honey. Served very cold (4 ° max.) Impresses with its rich mousse and creamy. Natural beer with no additives, it is light and digestible. Its country charm grants him a very pronounced bitterness.",50.579203,4.0685604
Augrenoise Blonde de Noël,"Blonde, Bière de Noël",0,Brasserie Augrenoise,Soignies,Hainaut,Unknown,3,219,Unknown,50.579203,4.0685604
