Bières,Type,Teneur en alcool,Brasserie
La Barbiot Blonde,Fermentation haute,8 %,Brasserie La Barbiot
Bas,Blonde dorée,"6,5 %",De Proefbrouwerij
Basèque,Blonde,"5,5 %",Brasserie des Carrières
Basilius,Ambrée,7 %,De Proefbrouwerij
Bastogne Pale Ale,IPA,"6,5 %",Brasserie Minne
Bavaro,"Blonde, Fermentation basse","3,6 %",Brasserie Haacht
Bavik Blond,Bière de table,"1,5 %",Brasserie De Brabandere
Bavik Faro,Bière de table,"1,5 %",Brasserie De Brabandere
Bavik Pony-Stout,Stout,"5,2 %",Brasserie De Brabandere
Bavik Premium Pils,Pils,"5,2 %",Brasserie De Brabandere
Bavik Triple Bock,Bock,3 %,Brasserie De Brabandere
Bêchette,Fruitée,"7,5 %",Brasserie Grain d'Orge
Beer for Life,Blonde,"6,5 %",Brasserie Dilewyns
Beernems Berenbière,Blonde,"7,5 %",Brasserie Van Steenberge
Beersel Bio,Blonde,7 %,Gueuzestekerij 3 Fonteinen
Beersel Blond,Blonde,7 %,Gueuzestekerij 3 Fonteinen
Beersel Lager,Pils,"5,2 %",Gueuzestekerij 3 Fonteinen
Bel Pils,Pils,5 %,Brasserie Duvel Moortgat
Belgian Angel Stout,Stout,"5,2 %",Brasserie Brootcoorens
Belgian Framboises,Fruitée,"3,5 %",Brasserie Lefebvre
Belgian Kriek,Fruitée,"3,5 %",Brasserie Lefebvre
Belgian Pêches,Fruitée,"3,5 %",Brasserie Lefebvre
Belgica IPA,,"7,9 %",Brasserie Strubbe
Belgoo Arboo,"Triple, Ambrée","8,1 %",Brasserie La Binchoise
Belgoo Magus,Blonde,"6,6 %",Brasserie La Binchoise
Belgoo Maxus,Blonde dorée,"8,1 %",Brasserie La Binchoise
Belgoo Luppoo,Blonde dorée,"6,5 %",Brasserie La Binchoise
Bella Mère,Blonde,"6,5 %",Brasserie Millevertus
Belle Cies,Blonde,10 %,Huisebrouwerij Den Tseut
Belle-Fleur,India Pale Ale,6 %,Brasserie De Dochter van de Korenaar
Belle Pin-Up,Blonde,5 %,Brasserie L'Échappée Belle
Belle-Vue Framboise,Fruitée,"5,7 %",Brasserie Belle-Vue
Belle-Vue Extra Framboise,Fruitée,"2,9 %",Brasserie Belle-Vue
Belle-Vue Kriek,Kriek,"5,2 %",Brasserie Belle-Vue
Belle-Vue Kriek Classique,Kriek,"5,1 %",Brasserie Belle-Vue
Belle-Vue Extra Kriek,Kriek,"4,3 %",Brasserie Belle-Vue
Belle-Vue Gueuze,Lambic,"5,5 %",Brasserie Belle-Vue
Belle-Vue LA,NA,1 %,Brasserie Belle-Vue
Bellebière Amber,Ambrée,"5,2 %",Brasserie Van Steenberge
Bellebière Dubbel,Brune,"6,2 %",Brasserie Van Steenberge
Bellebière Trippel,Triple,8 %,Brasserie Van Steenberge
Bellegems Bruin,Vieille brune,"5,5 %",Brasserie Boon
Bellegems Witbier,Blanche,"5,0 %",Brasserie Boon
Belval,Blonde,"4,8 %",Gageleer
Berentemmer,Brune,7 %,Brasserie Maenhout
Bersalis Tripel,"Blonde, Fermentation haute, Triple","9,5 %",Brasserie Huyghe
Bersalis Kadet,Blonde,"4,5 %",Brasserie Huyghe
Bertinchamps Blonde,Blonde,"6,2 %",Brasserie de Bertinchamps
Bertinchamps Brune,Brune,7 %,Brasserie de Bertinchamps
Bertinchamps Triple,Triple,8 %,Brasserie de Bertinchamps
Betchard Brune,Brune,7 %,Brasserie de Tubize
Betchard Blonde,Blonde,"5,5 %",Brasserie de Tubize
Bieken,Blonde,8 %,Brasserie Boelens
Bierbeekse,"Blonde-ambrée, Fermentation haute","7,3 %",Brasserie Van Steenberge
Bierbuik,Brune,8 %,De Verhuisbrouwerij
Bière Darbyste,Ambrée,"5,8 %",Brasserie de Blaugies
Bière de Beloeil,Fermentation haute,"8,5 %",Brasserie Dupont
Bière de Garde,"Bio, Rouge-brune",10 %,Brasserie Jessenhofke par la De Proefbrouwerij
Bière de Miel Bio,"Bio, Bière au miel",8 %,Brasserie Dupont
Bière des Ours (Berenbière),Bière au miel,"8,5 %",Brasserie La Binchoise
Bière du Corsaire Cuvée Spéciale,Blonde,"9,4 %",Brasserie Huyghe
Bière du Mont Saint-Aubert,Blonde,8 %,Brasserie de Brunehaut
Bière Spéciale Belge,Spéciale,5 %,Brasserie La Binchoise
Big Bavik,Blonde,5 %,Brasserie Bobbi
Big Chouffe,Blonde,8 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat)
Bierpruver Dubbel Bruin,Double,"7,5 %",Huisbrouwerij de 3 vaten
Bierpruver Tripel,Triple,9 %,Huisbrouwerij de 3 vaten
Bierpruver Winter,Bière de Noël,8 %,Huisbrouwerij de 3 vaten |-
La Binchoise Blonde,"Fermentation haute, Blonde","6,2 %",Brasserie La Binchoise
La Binchoise Brune,Fermentation haute,"7,7 %",Brasserie La Binchoise
La Binchoise Organic’ Brune,"Fermentation haute, Bio",7 %,Brasserie La Binchoise
La Binchoise Organic’ Miel,"Fermentation haute, Bio, Bière au miel","8,5 %",Brasserie La Binchoise
La Binchoise Organic’ Triple,"Fermentation haute, Bio, Triple","8,5 %",Brasserie La Binchoise
La Binchoise Spéciale Noël,"Fermentation haute, Bière de Noël",9 %,Brasserie La Binchoise
La Binchoise Triple,"Fermentation haute, Triple","8,5 %",Brasserie La Binchoise
La Binchoise XO,Fermentation haute,12 %,Brasserie La Binchoise
Bink Blond,Ale,"5,5 %",Brasserie Cornelissen
Bink Bruin,Double,"5,5 %",Brasserie Cornelissen
Bink Bloesem,Blonde,"7,1 %",Brasserie Cornelissen
Biolégère,"Bio, Saison","3,5 %",Brasserie Dupont
Bisous m'chou,Blonde,"6,5 %",Brasserie La Binchoise
Bitter Sweet Symphony,"Double, IPA","7,8 %",Brasserie 't Gaverhopke
Bittere Waarheid,IPA,11 %,Brasserie Het Alternatief par la Brasserie De Graal
B'Joy Beer,Hoppy Blond,"6,5 %",MY Beers SNC
Black,"Brune, Fermentation haute","6,3 %",Brasserie de Bellevaux
Black Albert,Stout,13 %,Brasserie Deca
Black Damnation I,Stout,13 %,Brasserie Deca
Black Damnation II (Mocha Bomb),Stout,12 %,Brasserie Deca
Black Damnation III (Black Mes),Stout,13 %,Brasserie Deca
Black Damnation IV (Coffée Club),Stout,13 %,Brasserie Deca
Black Damnation V (Double Black),Stout,26 %,Brasserie Deca
Black,"Brune, Ale","6,3 %",Brasserie de Bellevaux
Black Ghost,Fermentation haute,8 %,Brasserie Fantôme
Black Hole,Pils,"5,6 %",Brasserie Roman
Black Jack,Porter,7 %,Brasserie Deca
Blanche,Blanche,"4,8 %",Brasserie de Bellevaux
Blanche d'Ardenne,Blanche,"4,3 %",Brasserie du Bocq
Blanche de Bouillon,Blanche,"5,5 %",Brasserie de Bouillon
Blanche de Brabant,Blanche,5 %,Groupe John Martin
Blanche de Bruxelles,Blanche,"4,5 %",Brasserie Lefebvre
Blanche de Boussu,Blanche,"4,8 %",Brasserie Deseveaux
Blanche de Charleroi,Blanche,5 %,Brasserie du Val de Sambre
Blanche de Namur,Blanche,"4,5 %",Brasserie du Bocq
Blanche de Namur Rosée,"Blanche, Fruitée","3,4 %",Brasserie du Bocq
Blanche de Saint-Job,Blanche,"4,5 %",Brasserie L'Imprimerie
Blanche de Tubize,Blanche,"4,8 %",Brasserie de Tubize
Blanche des Honnelles,Blanche,6 %,Brasserie de l'abbaye des Rocs
Blanche des Neiges,Blanche,5 %,Brasserie Huyghe
Blanche des Saisis,Blanche,"6,2 %",Brasserie Ellezelloise
Blanche du Hainaut Bio,"Blanche, Bio","5,5 %",Brasserie Dupont
Blanchette de Gaume,Blanche,5 %,Brasserie Millevertus
Blanchette de Lorraine,"Blanche, Fruitée",5 %,Brasserie Millevertus
BLAUW,Pils,"5,2 %",Brasserie Boon
Blauwersbier,,"6,5 %",Brasserie Van Eecke
Bloemenbier,Ale,7 %,De Proefbrouwerij
La Blondasse,Blonde,"4,5 %",Brasserie du Renard
Bière de la Bonde,Triple,10 %,Brasserie Van Eecke
Bleeken Moriaen,Triple,10 %,Brasserie Van Eecke
Blégny-Mine bière des Houyeux,,6 %,Brasserie de l'abbaye du Val-Dieu
Blonde,Blonde,7 %,Brasserie de Bellevaux
Blonde,"Blonde, Fermentation basse","1,2 %",Brasserie Haacht
Blonde Bie,Blonde,8 %,Brasserie De Bie
Blonde de Brabant,Blonde,6 %,Groupe John Martin
Blonde de Noël,Blonde,10 %,Brasserie Caulier
La Blonde du Domaine des Grottes de Han,Blonde,"6,5 %",Brasserie du Bocq
Blondelle,Blonde,7 %,'t Hofbrouwerijke
Blondine,Blonde,8 %,Brasserie Van Steenberge
Blondine IPA,IPA,8 %,Brasserie De Graal
Bobeline black label,Brune,"8,5 %",Brasserie Huyghe
Bobeline blanche fraise,Blanche,"3,6 %",Brasserie Huyghe
Bobeline blonde,Blonde,"8,5 %",Brasserie Huyghe
Bock Leroy,Bière de table,"1,8 %",Brasserie Het Sas
Bock Pils,Pils,"5,2 %",Brasserie Palm
Bockor Pils,"Fermentation basse, Pils","5,2 %",Brasserie Boon
Bocq Christmas,Bière de Noël,"8,1 %",Brasserie du Bocq
Boembeke Luiwerk,Blonde,"6,5 %",Brasserie De Graal
Boerinneken,"Fermentation haute, Blonde","9,5 %",De Proefbrouwerij
Boerke Blond,Blonde,"6,8 %",Brasserie Angerik
Boerke Bruin,Brune,"6,8 %",Brasserie Angerik
Boerke Krieken,Fruitée,"6,5 %",Brasserie Angerik
Boerken,"Fermentation haute, Brune","9,5 %",De Proefbrouwerij
Bokkereyer,Fermentation basse,6 %,Brasserie Cornelissen
Bolleville Calvados Barrel OA,,10 %,Brasserie Alvinne
Bokrijks,"Blonde, Abbaye","7,2 %",Brasserie du Bocq
Bon Homme,"Fermentation haute, Brune","6,5 %",Brasserie De Leite
Bon Secours Ambrée,"Fermentation haute, Ambrée",8 %,Brasserie Caulier
Bon Secours Blonde,"Fermentation haute, Blonde",8 %,Brasserie Caulier
Bon Secours Brune,"Fermentation haute, Brune",8 %,Brasserie Caulier
Bon Secours Framboise,"Fermentation haute, Fruitée",7 %,Brasserie Caulier
Bon Secours Myrtille,"Fermentation haute, Fruitée",7 %,Brasserie Caulier
Bon Secours Noël,"Fermentation haute, Blonde, Bière de Noël",10 %,Brasserie Caulier
La Bonne Bwère,"Fermentation haute, Dorée","6,5 %",Brasserie de Lonsees
Bons vœux,Blonde,"9,5 %",Brasserie Dupont
Boneffe,Abbaye,9 %,Brasserie de Tubize
Bornem Dubbel,Abbaye,8 %,Brasserie Van Steenberge
Bornem Tripel,Abbaye,9 %,Brasserie Van Steenberge
Bos bier,Fruitée,9 %,Brasserie Dijkwaert
Bosbier,"Fruitée, Pils",4 %,Brasserie Cornelissen
Boscoli,Fruitée,"3,5 %",Brasserie Het Anker
Boskeun,Blonde,7 %,De Dolle Brouwers
Bosprotter,Triple,"8,5 %",'t Hofbrouwerijke
La Botteresse Ambrée,Fermentation haute,"8,5 %",Brasserie La Botteresse de Sur-les-Bois
La Botteresse de Noël,"Fermentation haute, Bière de Noël","10,5 %",Brasserie La Botteresse de Sur-les-Bois
La Botteresse Blonde,Fermentation haute,"7,5 %",Brasserie La Botteresse de Sur-les-Bois
La Botteresse Brune,Fermentation haute,"9,5 %",Brasserie La Botteresse de Sur-les-Bois
La Botteresse aux cerises,"Fermentation haute, Fruitée","5,5 %",Brasserie La Botteresse de Sur-les-Bois
La Botteresse Ambrée au miel,"Fermentation haute, Bière au miel","8,5 %",Brasserie La Botteresse de Sur-les-Bois
La Botteresse aux pommes,"Fermentation haute, Fruitée","5,4 %",Brasserie La Botteresse de Sur-les-Bois
La Bouillonnaise,"Brune, Fermentation haute",7 %,Brasserie de Bouillon
Bourgogne des Flandres Blond,"Fermentation haute, Blonde",6 %,Brasserie Bourgogne des Flandres
Bourgogne des Flandres Bruin,Vieille brune,5 %,Brasserie Bourgogne des Flandres
BR Blonde,Blonde,"6,2 %",Brasserie Demanez
La Brabançonne Ambrée,Ambrée,"7,5 %",Brasserie du Brabant
La Brabançonne Blonde au Miel,Blonde,"6,5 %",Brasserie du Brabant
La Brabançonne Brune,Brune,"9,1 %",Brasserie du Brabant
Brasserie des Rocs Triple Impériale,,10 %,Brasserie de l'abbaye des Rocs
Brave Broeder,Fermentation haute (Bière-étiquette),5 %,Brasserie de Silly
Bravoure,"Fermentation haute, Rauchbier, Ambrée","6,5 %",Brasserie De Dochter van de Korenaar
Bremserbière,Ambrée,6 %,Huisbrouwerij de 3 vaten
Brice,Blonde,"7,5 %",Brasserie Grain d'Orge
Briekebakker,Triple,"8,7 %",Brasserie Alvinne
Brigand,Blonde,9 %,Brasserie Van Honsebrouck
Brigand IPA,IPA,"6,5 %",Brasserie Van Honsebrouck
Broeder Jacob Formidabel,blonde,"5,5 %",Brasserie Broeder Jacob
Broeder Jacob Bruin,Brune,"7,5 %",Brasserie Broeder Jacob
Broeder Jacob Tripel,Triple,"7,5 %",Brasserie Broeder Jacob
Brogne Blonde,Blonde,"6,5 %",Abbaye de Brogne
Brown Sugar,Brune,9 %,Brasserie Grain d'Orge
Bruegel,Ambrée,5 %,Brasserie Van Steenberge
Brugge Blond,"Spéciale, Fermentation haute","6,5 %",Brasserie Palm (Précédemment brassée dans la Brasserie De Gouden Boom)
Brugge Tripel,"Spéciale, Fermentation haute","8,7 %",Brasserie Palm (Précédemment brassée dans la Brasserie De Gouden Boom)
Brugs,Blanche,"4,8 %",Alken-Maes (Heineken) (Précédemment brassée dans la Brasserie De Gouden Boom)
Brugs Beertje 20,Blonde,"6,5 %",Brasserie De Regenboog
Brugs Beertje 25,Ambrée,9 %,Brasserie De Regenboog
Brugse Babbelaar,Blonde,"6,5 %",De Proefbrouwerij
Brugse Bok,Brune,"6,5 %",Brasserie De Halve Maan
Brugse Zot Blond,Blonde dorée,6 %,Brasserie De Halve Maan
Brugse Zot Dubbel,Brune,"7,5 %",Brasserie De Halve Maan
Bruin Leroy,Bière de table,"1,8 %",Brasserie Het Sas
Brune,Brune,"6,8 %",Brasserie de Bellevaux
Brunehaut Terroir,Blanche,5 %,Brasserie de Brunehaut
Brunehaut Tradition,Ambrée,"6,5 %",Brasserie de Brunehaut
Brunehaut Village,Blonde,"6,5 %",Brasserie de Brunehaut
Brunehaut Bio Amber,Bio,"6,5 %",Brasserie de Brunehaut
Brunehaut Bio Blanche,"Bio, Blanche",5 %,Brasserie de Brunehaut
Brunehaut Bio Blonde,Bio,"6,5 %",Brasserie de Brunehaut
Brunette,Fermentation haute,9 %,Brasserie Van Steenberge
La Brunette,Brune,6 %,Brasserie du Renard
Brussels Framboos,Fruitée,"3,5 %",Brasserie Van Steenberge
Brussels Kriek,Fruitée,5 %,Brasserie Van Steenberge
Brussels Perzik,Fruitée,4 %,Brasserie Van Steenberge
"Brussels Fruit Beer ""Apple""",Fruitée,"3,2 %",Brasserie du Bocq
"Brussels Fruit Beer ""Peaches""",Fruitée,"3,2 %",Brasserie du Bocq
"Brussels Fruit Beer ""Red Fruit""",Fruitée,"3,2 %",Brasserie du Bocq
Brut,Blonde,8 %,Brasserie De Vlier
Bruynen Moriaen,Brune,9 %,Brasserie Van Eecke
BRWN,"Fermentation haute, Bio",7 %,De Proefbrouwerij
Buffalo,"Fermentation haute, Brune","6,5 %",Brasserie Van Den Bossche
Buffalo Belgian Stout,Stout,9 %,Brasserie Van Den Bossche
Buffalo Bitter,Blonde,8 %,Brasserie Van Den Bossche
Bush Ambrée,"Fermentation haute, Ambrée",12 %,Brasserie Dubuisson
Bush Ambrée Triple,"Triple, Ambrée",12 %,Brasserie Dubuisson
Bush Blonde,"Fermentation haute, Blonde","10,5 %",Brasserie Dubuisson
Bush Blonde Triple,"Triple, Blonde","10,5 %",Brasserie Dubuisson
Bush de Noël,Bière de Noël,12 %,Brasserie Dubuisson
Bush de Noël Premium,"Bière de Noël, Triple",13 %,Brasserie Dubuisson
Bush de Nuits,"Ambrée, Triple",13 %,Brasserie Dubuisson
Bush Prestige,"Ambrée, Triple",13 %,Brasserie Dubuisson
Bush 7,Ambrée,"7,5 %",Brasserie Dubuisson
La Cambre,Blond,"6,3%",Brouwerij Het Anker
La Cambrée,Ambrée,"6,5 %",Brasserie de la Lesse
Cambrinus,Ale,"5,1 %",Brasserie Verhaeghe
Campus Premium,Pils,5 %,Brasserie Huyghe
Campus,Brune,7 %,Brasserie Huyghe
